web-scraper-order,web-scraper-start-url,Marque_Model_Annee,Prix,Reference,Adr_Commune,Adr_Region,Proprio,Pagination
"1720806687-1","https://dakar-auto.com/senegal/location-de-voitures-19","Citroen Berlingo 2014","20 000 F CFA","Ref. 138611","Médina,","Dakar","Par Chasseur Automobile",""
"1720806687-2","https://dakar-auto.com/senegal/location-de-voitures-19","Peugeot 308 2013","20 000 F CFA","Ref. 138621","Grand-Yoff,","Dakar","Par Chic Drive",""
"1720806687-3","https://dakar-auto.com/senegal/location-de-voitures-19","Ford Fiesta 2014","20 000 F CFA","Ref. 138548","Sangalkam,","Dakar","Par Medoune Ndiaye",""
"1720806687-4","https://dakar-auto.com/senegal/location-de-voitures-19","Ford Fusion 2015","20 000 F CFA","Ref. 138518","Cité Keur gorgui,","Dakar","Par Pape Cheikh automobile",""
"1720806687-5","https://dakar-auto.com/senegal/location-de-voitures-19","Toyota Rav 4 2020","20 000 F CFA","Ref. 138490","Mermoz Sacré-Coeur,","Dakar","Par LocAuto Sénégal Location de voiture",""
"1720806687-6","https://dakar-auto.com/senegal/location-de-voitures-19","Hyundai Elantra 2015","20 000 F CFA","Ref. 138491","Mermoz Sacré-Coeur,","Dakar","Par LocAuto Sénégal Location de voiture",""
"1720806687-7","https://dakar-auto.com/senegal/location-de-voitures-19","Hyundai Elantra 2015","20 000 F CFA","Ref. 138492","Mermoz Sacré-Coeur,","Dakar","Par LocAuto Sénégal Location de voiture",""
"1720806687-8","https://dakar-auto.com/senegal/location-de-voitures-19","Toyota Verso 2014","20 000 F CFA","Ref. 138493","Mermoz Sacré-Coeur,","Dakar","Par LocAuto Sénégal Location de voiture",""
"1720806687-9","https://dakar-auto.com/senegal/location-de-voitures-19","Ford Fusion 2014","20 000 F CFA","Ref. 138438","Médina,","Dakar","Par Bakay Samassa",""
"1720806687-10","https://dakar-auto.com/senegal/location-de-voitures-19","Kia Sportage 2015","20 000 F CFA","Ref. 138395","Almadies,","Dakar","Par Moustapha SAMBA",""
"1720806687-11","https://dakar-auto.com/senegal/location-de-voitures-19","Hyundai Sonata 2014","20 000 F CFA","Ref. 138371","Parcelles Assainies,","Dakar","Par DRT Automobile",""
"1720806687-12","https://dakar-auto.com/senegal/location-de-voitures-19","Hyundai Sonata 2014","20 000 F CFA","Ref. 138372","Parcelles Assainies,","Dakar","Par DRT Automobile",""
"1720806687-13","https://dakar-auto.com/senegal/location-de-voitures-19","Hyundai Starex-12-places 2020","20 000 F CFA","Ref. 138259","Pikine Ouest,","Dakar","Par David Niang",""
"1720806687-14","https://dakar-auto.com/senegal/location-de-voitures-19","Hyundai Elantra 2013","20 000 F CFA","Ref. 138103","Nord Foire,","Dakar","Par Mouhamed Diallo",""
"1720806687-15","https://dakar-auto.com/senegal/location-de-voitures-19","Nissan ROGUE-SL-AWD 2015","20 000 F CFA","Ref. 137867","Thiès,","Thiès","Par AlfaBusinessGroup BARRY",""
"1720806687-16","https://dakar-auto.com/senegal/location-de-voitures-19","Kia Sportage 2012","20 000 F CFA","Ref. 137868","Almadies,","Dakar","Par Moustapha SAMBA",""
"1720806687-17","https://dakar-auto.com/senegal/location-de-voitures-19","Mitsubishi Asx 2014","20 000 F CFA","Ref. 137678","Ouest Foire,","Dakar","Par Rent Auto",""
"1720806687-18","https://dakar-auto.com/senegal/location-de-voitures-19","Ford Minibus 2015","20 000 F CFA","Ref. 137402","Médina,","Dakar","Par Kena Impact Groupes",""
"1720806687-19","https://dakar-auto.com/senegal/location-de-voitures-19","Citroen Ds4 2014","20 000 F CFA","Ref. 137347","Guédiawaye,","Dakar","Par unicar UNICAR",""
"1720806687-20","https://dakar-auto.com/senegal/location-de-voitures-19","Ford Fusion 2013","20 000 F CFA","Ref. 137304","Point-E,","Dakar","Par TECHZONE .",""
